año,mes,cod_depto,cod_muni,obj_tra,clase_suelo,modalidad,destino,tipo_vivi,VIS_NVIS,estrato,area,unidades,licencias,cobertura
2005,01,05,001,1,1,1,1,1,2,2,124,2,1,77
2005,01,05,001,1,1,1,1,1,2,3,130,1,1,77
2005,01,05,001,1,1,1,1,1,2,5,212,1,1,77
2005,01,05,001,1,1,1,1,2,1,2,5005,73,5,77
2005,01,05,001,1,1,1,1,2,1,3,499,7,2,77
2005,01,05,001,1,1,1,1,2,2,2,393,5,1,77
2005,01,05,001,1,1,1,1,2,2,3,11296,194,5,77
2005,01,05,001,1,1,1,1,2,2,4,18920,256,5,77
2005,01,05,001,1,1,1,1,2,2,5,37332,380,5,77
2005,01,05,001,1,1,1,1,2,2,6,39499,246,4,77
2005,01,05,001,1,1,1,3,0,0,0,9645,0,1,77
2005,01,05,001,1,1,1,5,0,0,0,3456,0,7,77
2005,01,05,001,1,1,1,12,0,0,0,8,0,0,77
2005,01,05,001,1,1,2,1,1,2,2,80,1,2,77
2005,01,05,001,1,1,2,1,2,2,3,908,11,6,77
2005,01,05,001,1,1,2,1,2,2,4,221,1,1,77
2005,01,05,001,1,1,2,1,2,2,5,14977,60,1,77
2005,01,05,001,1,1,2,5,0,0,0,90,0,1,77
2005,01,05,001,2,1,2,1,1,2,2,168,2,2,77
2005,01,05,001,2,1,2,1,1,2,3,218,2,2,77
2005,01,05,001,2,1,2,1,1,2,5,4,0,1,77
2005,01,05,001,2,1,2,1,2,2,1,106,2,1,77
2005,01,05,001,2,1,2,1,2,2,2,1249,24,9,77
2005,01,05,001,2,1,2,1,2,2,3,2609,37,20,77
2005,01,05,001,2,1,2,1,2,2,4,1371,14,9,77
2005,01,05,001,2,1,2,1,2,2,5,382,4,2,77
2005,01,05,001,2,1,2,1,2,2,6,5929,51,1,77
2005,01,05,001,2,1,2,2,0,0,0,1021,0,1,77
2005,01,05,001,2,1,2,5,0,0,0,682,0,5,77
2005,01,05,001,2,1,2,8,0,0,0,968,0,2,77
2005,01,05,001,2,1,2,11,0,0,0,34,0,1,77
2005,01,05,001,2,1,2,12,0,0,0,325,0,1,77
2005,01,05,079,2,1,2,1,2,2,2,53,1,1,77
2005,01,05,079,2,1,2,1,2,2,3,314,3,1,77
2005,01,05,088,1,1,1,1,1,1,2,9156,127,1,77
2005,01,05,088,1,1,1,1,1,1,3,23237,526,1,77
2005,01,05,088,1,1,1,1,1,2,2,124,2,1,77
2005,01,05,088,1,1,1,1,1,2,3,186,2,1,77
2005,01,05,088,1,1,1,1,2,1,1,256,3,1,77
2005,01,05,088,1,1,1,1,2,2,2,201,3,1,77
2005,01,05,088,1,1,1,10,0,0,0,273,0,1,77
2005,01,05,088,1,1,2,1,1,2,2,103,1,1,77
2005,01,05,088,1,1,2,1,2,2,2,54,1,1,77
2005,01,05,088,1,1,2,1,2,2,3,298,3,2,77
2005,01,05,088,1,1,2,11,0,0,0,518,0,1,77
2005,01,05,088,2,1,2,1,1,2,2,142,0,2,77
2005,01,05,088,2,1,2,1,1,2,3,176,2,2,77
2005,01,05,088,2,1,2,1,1,2,4,30,0,1,77
2005,01,05,088,2,1,2,1,2,2,2,192,2,1,77
2005,01,05,088,2,1,2,1,2,2,3,441,6,4,77
2005,01,05,088,2,1,2,1,2,2,4,86,1,1,77
2005,01,05,129,1,1,1,1,2,2,3,219,3,1,77
2005,01,05,129,1,1,2,1,1,2,2,47,1,1,77
2005,01,05,129,1,1,2,1,1,2,3,83,1,1,77
2005,01,05,129,1,1,2,1,2,2,3,288,4,1,77
2005,01,05,129,1,1,2,5,0,0,0,40,0,0,77
2005,01,05,129,2,1,2,1,2,2,3,39,1,1,77
2005,01,05,212,1,1,1,1,1,2,1,39,1,1,77
2005,01,05,212,1,1,1,1,1,2,3,451,3,3,77
2005,01,05,212,1,1,2,1,2,2,2,95,2,1,77
2005,01,05,212,2,1,2,1,2,2,3,404,5,2,77
2005,01,05,212,2,1,2,3,0,0,0,128,0,1,77
2005,01,05,212,2,1,2,5,0,0,0,76,0,0,77
2005,01,05,266,1,1,1,1,1,2,2,99,1,1,77
2005,01,05,266,1,1,1,1,1,2,3,126,1,1,77
2005,01,05,266,1,1,1,1,1,2,4,393,2,2,77
2005,01,05,266,1,1,1,1,1,2,5,638,2,2,77
2005,01,05,266,1,1,1,1,2,2,5,5522,28,1,77
2005,01,05,266,1,1,1,4,0,0,0,1510,0,1,77
2005,01,05,266,1,1,1,5,0,0,0,32,0,0,77
2005,01,05,266,1,1,2,1,1,2,2,127,2,2,77
2005,01,05,266,1,1,2,1,1,2,3,163,1,1,77
2005,01,05,266,1,1,2,1,1,2,4,186,1,3,77
2005,01,05,266,1,1,2,1,1,2,5,16,0,1,77
2005,01,05,266,1,1,2,1,2,2,2,213,3,2,77
2005,01,05,266,1,1,2,1,2,2,3,1069,10,10,77
2005,01,05,266,1,1,2,1,2,2,4,128,1,3,77
2005,01,05,266,1,3,1,1,1,2,5,1599,6,5,77
2005,01,05,266,1,3,1,1,1,2,6,308,1,1,77
2005,01,05,308,1,1,1,1,2,2,2,420,5,1,77
2005,01,05,308,1,1,1,5,0,0,0,87,0,0,77
2005,01,05,308,1,1,2,1,1,2,2,149,2,2,77
2005,01,05,308,1,1,2,1,1,2,3,84,1,1,77
2005,01,05,308,1,1,2,1,2,2,2,122,1,1,77
2005,01,05,308,1,1,2,1,2,2,3,100,1,1,77
2005,01,05,308,1,3,1,1,1,2,3,1374,7,6,77
2005,01,05,360,1,1,1,1,2,1,2,268,3,1,77
2005,01,05,360,1,1,1,1,2,2,2,276,4,1,77
2005,01,05,360,1,1,1,1,2,2,3,746,7,2,77
2005,01,05,360,1,1,1,5,0,0,0,231,0,0,77
2005,01,05,360,1,1,1,8,0,0,0,835,0,1,77
2005,01,05,360,1,1,2,1,1,2,2,168,1,2,77
2005,01,05,360,1,1,2,1,1,2,3,36,0,1,77
2005,01,05,360,1,1,2,1,2,2,2,319,3,4,77
2005,01,05,360,1,1,2,1,2,2,3,499,6,5,77
2005,01,05,360,1,1,2,2,0,0,0,49,0,1,77
2005,01,05,360,1,1,2,5,0,0,0,164,0,1,77
2005,01,05,360,2,1,2,5,0,0,0,9,0,1,77
2005,01,05,380,1,1,1,1,1,2,3,288,2,2,77
2005,01,05,380,1,1,1,4,0,0,0,886,0,1,77
2005,01,05,380,1,1,1,10,0,0,0,286,0,1,77
2005,01,05,380,1,1,2,1,2,2,3,236,3,2,77
2005,01,05,380,1,2,1,5,0,0,0,18,0,1,77
2005,01,05,380,1,3,1,1,1,2,3,966,7,5,77
2005,01,05,380,1,3,1,8,0,0,0,5942,0,1,77
2005,01,05,380,1,3,2,1,1,2,3,182,1,1,77
2005,01,05,615,1,2,1,1,1,2,4,239,1,1,77
2005,01,05,615,1,3,1,1,1,1,3,117,2,2,77
2005,01,05,615,1,3,1,1,1,2,4,329,1,1,77
2005,01,05,615,1,3,1,12,0,0,0,125,0,0,77
2005,01,05,631,1,1,1,1,2,2,3,1041,5,1,77
2005,01,05,631,1,3,1,1,1,2,3,194,1,1,77
2005,01,05,631,1,3,1,1,1,2,4,783,4,4,77
2005,01,05,631,2,3,1,1,1,2,4,6398,19,1,77
2005,01,05,887,1,1,1,1,1,2,1,59,1,1,77
2005,01,05,887,1,1,1,1,1,2,2,76,1,1,77
2005,01,05,887,1,1,1,12,0,0,0,101,0,1,77
2005,01,05,887,1,1,2,1,1,2,2,54,1,1,77
2005,01,05,887,1,1,2,1,1,2,3,103,1,1,77
2005,01,05,887,1,1,2,1,2,2,3,169,1,1,77
2005,01,08,001,1,1,1,1,1,2,4,705,7,4,77
2005,01,08,001,1,1,1,1,2,1,3,1833,16,1,77
2005,01,08,001,1,1,1,1,2,2,3,582,6,1,77
2005,01,08,001,1,1,1,1,2,2,5,454,3,1,77
2005,01,08,001,1,1,1,5,0,0,0,468,0,1,77
2005,01,08,001,2,1,2,1,1,2,2,69,1,1,77
2005,01,08,001,2,1,2,1,1,2,3,289,3,2,77
2005,01,08,001,2,1,2,1,1,2,4,358,3,2,77
2005,01,08,001,2,1,2,1,1,2,6,300,0,1,77
2005,01,08,001,2,1,2,1,2,2,3,304,4,3,77
2005,01,08,001,2,1,2,2,0,0,0,8397,0,1,77
2005,01,08,001,2,1,2,5,0,0,0,293,0,1,77
2005,01,08,001,2,1,2,6,0,0,0,625,0,1,77
2005,01,08,001,2,1,2,8,0,0,0,859,0,1,77
2005,01,08,433,1,1,1,1,1,1,2,385,1,1,77
2005,01,08,573,1,1,1,1,1,2,3,178,2,2,77
2005,01,08,573,1,1,1,11,0,0,0,116,0,1,77
2005,01,08,573,2,1,2,1,1,2,3,61,0,1,77
2005,01,08,573,2,1,2,10,0,0,0,458,0,1,77
2005,01,08,758,1,1,1,1,1,1,2,1329,38,7,77
2005,01,08,758,1,1,1,1,1,2,1,78,1,1,77
2005,01,08,758,1,1,1,1,1,2,3,269,4,4,77
2005,01,08,758,1,1,1,1,2,2,1,54,1,1,77
2005,01,08,758,1,1,1,1,2,2,2,97,2,1,77
2005,01,08,758,2,1,2,1,1,2,2,80,2,2,77
2005,01,08,758,2,1,2,1,1,2,3,73,1,1,77
2005,01,08,758,2,1,2,5,0,0,0,476,0,1,77
2005,01,11,001,1,1,1,1,1,1,1,1425,16,16,77
2005,01,11,001,1,1,1,1,1,1,2,3641,44,35,77
2005,01,11,001,1,1,1,1,1,1,3,10921,129,6,77
2005,01,11,001,1,1,1,1,1,2,1,179,3,3,77
2005,01,11,001,1,1,1,1,1,2,2,4432,43,31,77
2005,01,11,001,1,1,1,1,1,2,3,6379,54,27,77
2005,01,11,001,1,1,1,1,1,2,4,637,4,3,77
2005,01,11,001,1,1,1,1,1,2,5,3202,10,4,77
2005,01,11,001,1,1,1,1,1,2,6,507,1,1,77
2005,01,11,001,1,1,1,1,2,1,2,8496,187,4,77
2005,01,11,001,1,1,1,1,2,1,3,62383,667,3,77
2005,01,11,001,1,1,1,1,2,2,2,10414,168,9,77
2005,01,11,001,1,1,1,1,2,2,3,16335,175,21,77
2005,01,11,001,1,1,1,1,2,2,4,10034,83,4,77
2005,01,11,001,1,1,1,1,2,2,5,16239,133,5,77
2005,01,11,001,1,1,1,1,2,2,6,33194,173,11,77
2005,01,11,001,1,1,1,2,0,0,0,11660,0,13,77
2005,01,11,001,1,1,1,3,0,0,0,3249,0,4,77
2005,01,11,001,1,1,1,4,0,0,0,2855,0,2,77
2005,01,11,001,1,1,1,5,0,0,0,12347,0,25,77
2005,01,11,001,1,1,1,6,0,0,0,1381,0,1,77
2005,01,11,001,1,1,1,7,0,0,0,10306,0,18,77
2005,01,11,001,1,1,1,8,0,0,0,1788,0,2,77
2005,01,11,001,1,1,1,9,0,0,0,6536,0,1,77
2005,01,11,001,1,1,1,10,0,0,0,502,0,2,77
2005,01,11,001,1,1,1,11,0,0,0,577,0,1,77
2005,01,11,001,1,1,1,12,0,0,0,2692,0,0,77
2005,01,11,001,1,1,2,1,1,2,2,286,0,3,77
2005,01,11,001,1,1,2,1,1,2,3,6468,80,17,77
2005,01,11,001,1,1,2,1,1,2,4,1208,0,6,77
2005,01,11,001,1,1,2,1,1,2,5,86,0,2,77
2005,01,11,001,1,1,2,1,1,2,6,251,0,1,77
2005,01,11,001,1,1,2,1,2,2,3,501,3,4,77
2005,01,11,001,1,1,2,1,2,2,6,41,0,1,77
2005,01,11,001,1,1,2,2,0,0,0,173,0,1,77
2005,01,11,001,1,1,2,5,0,0,0,423,0,8,77
2005,01,11,001,1,1,2,7,0,0,0,122,0,2,77
2005,01,11,001,1,1,2,10,0,0,0,1770,0,2,77
2005,01,11,001,1,1,2,12,0,0,0,270,0,1,77
2005,01,11,001,2,1,2,1,1,2,2,265,0,4,77
2005,01,11,001,2,1,2,1,1,2,3,158,0,3,77
2005,01,11,001,2,1,2,1,1,2,5,114,1,2,77
2005,01,11,001,2,1,2,1,2,2,2,55,1,2,77
2005,01,11,001,2,1,2,1,2,2,3,65,0,1,77
2005,01,11,001,2,1,2,1,2,2,4,34,0,1,77
2005,01,11,001,2,1,2,1,2,2,5,11920,65,1,77
2005,01,11,001,2,1,2,1,2,2,6,12267,42,5,77
2005,01,11,001,2,1,2,5,0,0,0,53071,0,4,77
2005,01,11,001,2,1,2,7,0,0,0,1486,0,2,77
2005,01,13,001,1,1,1,1,1,2,3,366,3,2,77
2005,01,13,001,1,1,1,1,1,2,4,103,1,1,77
2005,01,13,001,1,1,1,1,1,2,5,177,1,1,77
2005,01,13,001,1,1,1,5,0,0,0,60,0,0,77
2005,01,13,001,1,1,1,6,0,0,0,496,0,1,77
2005,01,13,001,2,1,2,1,1,2,4,40,0,1,77
2005,01,13,001,2,1,2,1,2,2,2,154,1,0,77
2005,01,13,001,2,1,2,1,2,2,5,70,1,1,77
2005,01,13,001,2,1,2,7,0,0,0,169,0,1,77
2005,01,13,001,2,1,2,11,0,0,0,304,0,1,77
2005,01,13,430,1,1,1,1,1,2,1,112,1,1,77
2005,01,15,001,1,1,1,1,1,2,1,73,1,0,77
2005,01,15,001,1,1,1,1,1,2,2,193,2,2,77
2005,01,15,001,1,1,1,1,1,2,3,874,8,6,77
2005,01,15,001,1,1,1,1,1,2,4,1162,7,7,77
2005,01,15,001,1,1,1,1,1,2,5,492,2,2,77
2005,01,15,001,1,1,1,1,2,2,2,201,3,1,77
2005,01,15,001,1,1,1,1,2,2,3,189,3,1,77
2005,01,15,001,1,1,1,1,2,2,4,6888,91,4,77
2005,01,15,001,1,1,1,5,0,0,0,555,0,1,77
2005,01,15,001,1,1,2,1,1,2,1,31,0,1,77
2005,01,15,001,1,1,2,1,1,2,2,273,0,1,77
2005,01,15,001,1,1,2,1,1,2,3,172,0,2,77
2005,01,15,001,1,1,2,1,1,2,4,220,0,2,77
2005,01,15,001,1,1,2,5,0,0,0,443,0,4,77
2005,01,15,176,1,1,1,1,1,2,2,602,6,5,77
2005,01,15,176,1,1,1,1,1,2,3,139,1,1,77
2005,01,15,238,1,1,1,1,1,2,1,297,3,2,77
2005,01,15,238,1,1,1,1,1,2,2,656,6,4,77
2005,01,15,238,1,1,1,1,1,2,4,206,2,1,77
2005,01,15,238,1,1,1,1,2,2,2,443,3,1,77
2005,01,15,238,1,1,1,5,0,0,0,151,0,0,77
2005,01,15,238,1,1,2,1,2,2,2,88,1,1,77
2005,01,15,238,2,1,2,1,2,2,2,68,1,1,77
2005,01,15,759,1,1,1,1,1,2,2,608,8,6,77
2005,01,15,759,1,1,1,1,1,2,3,116,1,1,77
2005,01,15,759,1,1,1,1,2,2,2,544,7,3,77
2005,01,15,759,1,1,1,5,0,0,0,745,0,1,77
2005,01,15,759,1,1,1,10,0,0,0,278,0,1,77
2005,01,15,759,1,1,2,1,1,2,2,247,1,4,77
2005,01,15,759,1,1,2,1,1,2,3,21,0,1,77
2005,01,17,001,1,1,1,1,1,1,2,344,4,1,77
2005,01,17,001,1,1,1,1,1,2,3,317,2,2,77
2005,01,17,001,1,1,1,1,1,2,4,393,3,2,77
2005,01,17,001,1,1,1,1,2,2,3,2210,42,2,77
2005,01,17,001,1,1,1,1,2,2,5,1755,14,1,77
2005,01,17,001,1,1,1,2,0,0,0,1843,0,1,77
2005,01,17,001,1,1,1,4,0,0,0,808,0,1,77
2005,01,17,001,1,1,1,5,0,0,0,450,0,0,77
2005,01,17,001,1,1,2,1,1,2,2,149,0,5,77
2005,01,17,001,1,1,2,1,1,2,3,431,0,9,77
2005,01,17,001,1,1,2,1,1,2,4,25,0,1,77
2005,01,17,001,1,1,2,1,1,2,5,27,0,1,77
2005,01,17,001,1,1,2,1,2,2,2,50,1,0,77
2005,01,17,001,1,1,2,4,0,0,0,4921,0,1,77
2005,01,17,001,1,1,2,5,0,0,0,92,0,1,77
2005,01,17,001,1,1,2,6,0,0,0,885,0,1,77
2005,01,17,001,1,3,1,1,1,2,2,524,2,2,77
2005,01,17,001,1,3,1,1,1,2,4,285,1,1,77
2005,01,17,001,1,3,1,5,0,0,0,194,0,0,77
2005,01,17,380,1,1,1,1,1,2,3,112,1,1,77
2005,01,17,380,1,1,2,1,1,2,3,80,1,1,77
2005,01,17,873,1,1,1,1,1,1,3,888,14,2,77
2005,01,17,873,1,1,1,1,1,2,4,399,2,2,77
2005,01,17,873,1,1,1,7,0,0,0,2705,0,2,77
2005,01,17,873,1,1,2,1,1,2,1,67,0,1,77
2005,01,17,873,1,1,2,1,1,2,2,9,0,1,77
2005,01,17,873,1,1,2,1,1,2,3,12,0,1,77
2005,01,18,001,1,1,1,1,1,2,1,248,2,2,77
2005,01,18,001,1,1,1,1,1,2,2,110,1,1,77
2005,01,18,001,1,1,1,1,2,2,4,120,3,1,77
2005,01,18,001,1,1,1,3,0,0,0,147,0,1,77
2005,01,18,001,1,1,1,5,0,0,0,20,0,0,77
2005,01,18,001,2,1,2,1,1,2,1,39,0,1,77
2005,01,18,001,2,1,2,1,1,2,2,58,0,1,77
2005,01,19,001,1,1,1,1,1,2,2,403,3,2,77
2005,01,19,001,1,1,1,1,1,2,3,166,1,1,77
2005,01,19,001,1,1,1,1,1,2,4,637,2,2,77
2005,01,19,001,1,1,1,1,1,2,5,251,1,1,77
2005,01,19,001,1,1,1,1,2,2,1,474,6,2,77
2005,01,19,001,1,1,1,5,0,0,0,210,0,0,77
2005,01,19,001,1,1,1,6,0,0,0,556,0,1,77
2005,01,19,001,1,1,1,10,0,0,0,304,0,1,77
2005,01,19,001,1,1,2,1,1,2,1,67,1,1,77
2005,01,19,001,1,1,2,1,1,2,2,314,3,2,77
2005,01,19,001,1,1,2,1,1,2,5,140,1,1,77
2005,01,19,001,1,1,2,1,2,2,4,304,3,1,77
2005,01,19,001,1,1,2,5,0,0,0,74,0,0,77
2005,01,19,001,1,1,2,8,0,0,0,60,0,1,77
2005,01,19,001,1,2,1,1,1,2,3,154,1,1,77
2005,01,19,001,1,3,1,1,1,2,1,517,3,2,77
2005,01,20,001,1,1,1,1,1,1,2,25108,750,3,77
2005,01,20,001,1,1,1,1,1,1,3,3186,18,1,77
2005,01,20,001,1,1,1,1,1,1,4,160,1,1,77
2005,01,20,001,1,1,1,1,1,2,2,156,1,1,77
2005,01,20,001,1,1,1,1,1,2,3,214,1,1,77
2005,01,20,001,1,1,1,1,1,2,4,307,1,1,77
2005,01,20,001,1,1,1,1,2,2,2,384,5,3,77
2005,01,20,001,1,1,1,1,2,2,3,382,3,1,77
2005,01,20,001,1,1,1,1,2,2,4,271,3,1,77
2005,01,20,001,1,1,1,1,2,2,5,474,2,1,77
2005,01,20,001,1,1,1,5,0,0,0,855,0,3,77
2005,01,20,001,1,1,1,6,0,0,0,977,0,1,77
2005,01,20,001,2,1,2,1,1,2,2,72,1,1,77
